bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
3,15383151.0,2025,POINT (144.763852 -38.359406),wayback,1,1,430.0,blairgowrie,144.763852,1,-38.359406,Apartment / Unit / Flat
2,16893280.0,2024,POINT (145.122673 -38.06743),wayback,1,2,550.0,bonbeach,145.122673,1,-38.06743,Apartment / Unit / Flat
2,15925568.0,2022,POINT (145.258623 -37.860622),wayback,2,1,380.0,boronia,145.258623,1,-37.860622,Apartment / Unit / Flat
2,15933100.0,2022,POINT (145.288237 -37.864891),wayback,2,1,365.0,boronia,145.288237,1,-37.864891,Apartment / Unit / Flat
2,16769892.0,2023,POINT (145.28399 -37.856581),wayback,4,1,440.0,boronia,145.28399,1,-37.856581,Apartment / Unit / Flat
2,15942331.0,2022,POINT (145.299272 -37.853955),wayback,2,1,350.0,boronia,145.299272,1,-37.853955,Apartment / Unit / Flat
3,15431636.0,2022,POINT (145.292219 -37.854377),wayback,2,1,460.0,boronia,145.292219,1,-37.854377,Apartment / Unit / Flat
3,17175744.0,2024,POINT (145.278026 -37.860431),wayback,3,2,620.0,boronia,145.278026,2,-37.860431,Apartment / Unit / Flat
4,17199097.0,2024,POINT (145.257407 -37.86007),wayback,3,3,720.0,boronia,145.257407,2,-37.86007,Apartment / Unit / Flat
2,17415262.0,2025,POINT (145.116882 -37.807852),wayback,1,2,575.0,box hill north,145.116882,1,-37.807852,Apartment / Unit / Flat
2,15831597.0,2022,POINT (145.128854 -37.812847),wayback,2,1,410.0,box hill north,145.128854,1,-37.812847,Apartment / Unit / Flat
2,14703849.0,2022,POINT (145.128283 -37.812401),wayback,2,1,430.0,box hill north,145.128283,1,-37.812401,Apartment / Unit / Flat
2,17431916.0,2025,POINT (145.129056 -37.811179),wayback,1,1,525.0,box hill north,145.129056,1,-37.811179,Apartment / Unit / Flat
3,17423955.0,2025,POINT (145.125408 -37.806743),wayback,1,2,660.0,box hill north,145.125408,2,-37.806743,Apartment / Unit / Flat
