Statistic,Value,Suburb
Median mortgage repayment ($/monthly),400.0,Chinkapook
Median rent ($/weekly)(a),0.0,Chinkapook
Average number of persons per bedroom,0.7,Chinkapook
Average household size,2.2,Chinkapook
Median age of persons,44.0,Don Valley
Median total personal income ($/weekly),632.0,Don Valley
Median total family income ($/weekly),1825.0,Don Valley
Median total household income ($/weekly),1760.0,Don Valley
Median mortgage repayment ($/monthly),1800.0,Don Valley
Median rent ($/weekly)(a),270.0,Don Valley
Average number of persons per bedroom,0.8,Don Valley
Average household size,2.8,Don Valley
Median age of persons,45.0,Heath Hill
Median total personal income ($/weekly),807.0,Heath Hill
Median total family income ($/weekly),1649.0,Heath Hill
Median total household income ($/weekly),1449.0,Heath Hill
Median mortgage repayment ($/monthly),1911.0,Heath Hill
Median rent ($/weekly)(a),250.0,Heath Hill
Average number of persons per bedroom,0.8,Heath Hill
Average household size,2.8,Heath Hill
Median age of persons,52.0,Wartook
Median total personal income ($/weekly),562.0,Wartook
Median total family income ($/weekly),1458.0,Wartook
Median total household income ($/weekly),1274.0,Wartook
Median mortgage repayment ($/monthly),1120.0,Wartook
Median rent ($/weekly)(a),140.0,Wartook
Average number of persons per bedroom,0.7,Wartook
Average household size,2.0,Wartook
Median age of persons,56.0,Kingston (Vic.)
Median total personal income ($/weekly),742.0,Kingston (Vic.)
Median total family income ($/weekly),1781.0,Kingston (Vic.)
Median total household income ($/weekly),1517.0,Kingston (Vic.)
Median mortgage repayment ($/monthly),1517.0,Kingston (Vic.)
Median rent ($/weekly)(a),230.0,Kingston (Vic.)
Average number of persons per bedroom,0.7,Kingston (Vic.)
Average household size,2.2,Kingston (Vic.)
Median age of persons,55.0,Thornton (Vic.)
Median total personal income ($/weekly),657.0,Thornton (Vic.)
Median total family income ($/weekly),1645.0,Thornton (Vic.)
Median total household income ($/weekly),1048.0,Thornton (Vic.)
Median mortgage repayment ($/monthly),867.0,Thornton (Vic.)
Median rent ($/weekly)(a),258.0,Thornton (Vic.)
Average number of persons per bedroom,0.7,Thornton (Vic.)
Average household size,2.0,Thornton (Vic.)
Median age of persons,39.0,Heidelberg
Median total personal income ($/weekly),1086.0,Heidelberg
Median total family income ($/weekly),2660.0,Heidelberg
Median total household income ($/weekly),2012.0,Heidelberg
Median mortgage repayment ($/monthly),2150.0,Heidelberg
Median rent ($/weekly)(a),400.0,Heidelberg
Average number of persons per bedroom,0.9,Heidelberg
Average household size,2.3,Heidelberg
Median age of persons,42.0,Purnim West
Median total personal income ($/weekly),1042.0,Purnim West
Median total family income ($/weekly),2624.0,Purnim West
Median total household income ($/weekly),2624.0,Purnim West
Median mortgage repayment ($/monthly),3500.0,Purnim West
Median rent ($/weekly)(a),346.0,Purnim West
Average number of persons per bedroom,0.8,Purnim West
Average household size,2.8,Purnim West
Median age of persons,38.0,Moriac
Median total personal income ($/weekly),1002.0,Moriac
Median total family income ($/weekly),2646.0,Moriac
Median total household income ($/weekly),2486.0,Moriac
Median mortgage repayment ($/monthly),2000.0,Moriac
Median rent ($/weekly)(a),410.0,Moriac
Average number of persons per bedroom,0.8,Moriac
Average household size,3.1,Moriac
Median age of persons,31.0,Southbank
Median total personal income ($/weekly),1171.0,Southbank
Median total family income ($/weekly),2448.0,Southbank
Median total household income ($/weekly),1926.0,Southbank
Median mortgage repayment ($/monthly),1900.0,Southbank
Median rent ($/weekly)(a),411.0,Southbank
Average number of persons per bedroom,1.0,Southbank
Average household size,1.8,Southbank
Median age of persons,49.0,Macclesfield (Vic.)
Median total personal income ($/weekly),793.0,Macclesfield (Vic.)
Median total family income ($/weekly),2537.0,Macclesfield (Vic.)
Median total household income ($/weekly),2267.0,Macclesfield (Vic.)
Median mortgage repayment ($/monthly),2167.0,Macclesfield (Vic.)
Median rent ($/weekly)(a),289.0,Macclesfield (Vic.)
Average number of persons per bedroom,0.8,Macclesfield (Vic.)
Average household size,2.8,Macclesfield (Vic.)
Median age of persons,65.0,Mount Cole
Median total personal income ($/weekly),449.0,Mount Cole
Median total family income ($/weekly),1149.0,Mount Cole
Median total household income ($/weekly),724.0,Mount Cole
Median mortgage repayment ($/monthly),0.0,Mount Cole
Median rent ($/weekly)(a),165.0,Mount Cole
Average number of persons per bedroom,0.6,Mount Cole
Average household size,1.9,Mount Cole
Median age of persons,46.0,Eaglemont
Median total personal income ($/weekly),1153.0,Eaglemont
Median total family income ($/weekly),3473.0,Eaglemont
Median total household income ($/weekly),2866.0,Eaglemont
Median mortgage repayment ($/monthly),3073.0,Eaglemont
Median rent ($/weekly)(a),453.0,Eaglemont
Average number of persons per bedroom,0.8,Eaglemont
Average household size,2.7,Eaglemont
Median age of persons,38.0,Malvern East
Median total personal income ($/weekly),1060.0,Malvern East
Median total family income ($/weekly),3288.0,Malvern East
Median total household income ($/weekly),2383.0,Malvern East
Median mortgage repayment ($/monthly),2944.0,Malvern East
Median rent ($/weekly)(a),421.0,Malvern East
Average number of persons per bedroom,0.9,Malvern East
Average household size,2.5,Malvern East
Median age of persons,44.0,Kooloonong
Median total personal income ($/weekly),866.0,Kooloonong
Median total family income ($/weekly),2749.0,Kooloonong
Median total household income ($/weekly),1375.0,Kooloonong
Median mortgage repayment ($/monthly),212.0,Kooloonong
Median rent ($/weekly)(a),0.0,Kooloonong
Average number of persons per bedroom,0.7,Kooloonong
Average household size,2.4,Kooloonong
Median age of persons,48.0,Heywood
Median total personal income ($/weekly),622.0,Heywood
Median total family income ($/weekly),1553.0,Heywood
Median total household income ($/weekly),1077.0,Heywood
Median mortgage repayment ($/monthly),1025.0,Heywood
Median rent ($/weekly)(a),180.0,Heywood
Average number of persons per bedroom,0.7,Heywood
Average household size,2.2,Heywood
Median age of persons,42.0,Kalkee
Median total personal income ($/weekly),1100.0,Kalkee
Median total family income ($/weekly),2874.0,Kalkee
Median total household income ($/weekly),2250.0,Kalkee
Median mortgage repayment ($/monthly),823.0,Kalkee
Median rent ($/weekly)(a),0.0,Kalkee
Average number of persons per bedroom,0.9,Kalkee
Average household size,2.9,Kalkee
Median age of persons,36.0,Fish Point
Median total personal income ($/weekly),549.0,Fish Point
Median total family income ($/weekly),762.0,Fish Point
Median total household income ($/weekly),762.0,Fish Point
Median mortgage repayment ($/monthly),0.0,Fish Point
Median rent ($/weekly)(a),230.0,Fish Point
Average number of persons per bedroom,0.7,Fish Point
Average household size,2.3,Fish Point
Median age of persons,40.0,Mill Park
Median total personal income ($/weekly),716.0,Mill Park
Median total family income ($/weekly),1992.0,Mill Park
Median total household income ($/weekly),1735.0,Mill Park
Median mortgage repayment ($/monthly),1748.0,Mill Park
Median rent ($/weekly)(a),366.0,Mill Park
Average number of persons per bedroom,0.8,Mill Park
Average household size,2.7,Mill Park
Median age of persons,74.0,Lawrence (Vic.)
Median total personal income ($/weekly),399.0,Lawrence (Vic.)
Median total family income ($/weekly),450.0,Lawrence (Vic.)
Median total household income ($/weekly),574.0,Lawrence (Vic.)
Median mortgage repayment ($/monthly),0.0,Lawrence (Vic.)
Median rent ($/weekly)(a),0.0,Lawrence (Vic.)
Average number of persons per bedroom,0.4,Lawrence (Vic.)
Average household size,1.2,Lawrence (Vic.)
Median age of persons,47.0,Merrigum
Median total personal income ($/weekly),557.0,Merrigum
Median total family income ($/weekly),1406.0,Merrigum
Median total household income ($/weekly),1030.0,Merrigum
Median mortgage repayment ($/monthly),1083.0,Merrigum
Median rent ($/weekly)(a),180.0,Merrigum
Average number of persons per bedroom,0.8,Merrigum
Average household size,2.3,Merrigum
Median age of persons,37.0,Running Creek (Vic.)
Median total personal income ($/weekly),489.0,Running Creek (Vic.)
Median total family income ($/weekly),1125.0,Running Creek (Vic.)
Median total household income ($/weekly),866.0,Running Creek (Vic.)
Median mortgage repayment ($/monthly),1117.0,Running Creek (Vic.)
Median rent ($/weekly)(a),195.0,Running Creek (Vic.)
Average number of persons per bedroom,0.7,Running Creek (Vic.)
Average household size,2.4,Running Creek (Vic.)
Median age of persons,42.0,Landsborough West
Median total personal income ($/weekly),619.0,Landsborough West
Median total family income ($/weekly),1437.0,Landsborough West
Median total household income ($/weekly),1312.0,Landsborough West
Median mortgage repayment ($/monthly),1215.0,Landsborough West
Median rent ($/weekly)(a),160.0,Landsborough West
Average number of persons per bedroom,0.8,Landsborough West
Average household size,2.8,Landsborough West
Median age of persons,54.0,Langsborough
Median total personal income ($/weekly),543.0,Langsborough
Median total family income ($/weekly),1312.0,Langsborough
Median total household income ($/weekly),1031.0,Langsborough
Median mortgage repayment ($/monthly),867.0,Langsborough
Median rent ($/weekly)(a),283.0,Langsborough
Average number of persons per bedroom,0.8,Langsborough
Average household size,2.2,Langsborough
Median age of persons,54.0,Omeo
Median total personal income ($/weekly),674.0,Omeo
Median total family income ($/weekly),1562.0,Omeo
Median total household income ($/weekly),1131.0,Omeo
Median mortgage repayment ($/monthly),1117.0,Omeo
Median rent ($/weekly)(a),225.0,Omeo
Average number of persons per bedroom,0.7,Omeo
Average household size,2.0,Omeo
Median age of persons,41.0,Upper Ferntree Gully
Median total personal income ($/weekly),847.0,Upper Ferntree Gully
Median total family income ($/weekly),2411.0,Upper Ferntree Gully
Median total household income ($/weekly),2039.0,Upper Ferntree Gully
Median mortgage repayment ($/monthly),2000.0,Upper Ferntree Gully
Median rent ($/weekly)(a),369.0,Upper Ferntree Gully
Average number of persons per bedroom,0.8,Upper Ferntree Gully
Average household size,2.6,Upper Ferntree Gully
Median age of persons,41.0,Jeffcott
Median total personal income ($/weekly),624.0,Jeffcott
Median total family income ($/weekly),1687.0,Jeffcott
Median total household income ($/weekly),1687.0,Jeffcott
Median mortgage repayment ($/monthly),921.0,Jeffcott
Median rent ($/weekly)(a),0.0,Jeffcott
Average number of persons per bedroom,0.9,Jeffcott
Average household size,3.3,Jeffcott
Median age of persons,49.0,Tallangatta Valley
Median total personal income ($/weekly),762.0,Tallangatta Valley
Median total family income ($/weekly),1895.0,Tallangatta Valley
Median total household income ($/weekly),1642.0,Tallangatta Valley
Median mortgage repayment ($/monthly),1614.0,Tallangatta Valley
Median rent ($/weekly)(a),241.0,Tallangatta Valley
Average number of persons per bedroom,0.7,Tallangatta Valley
Average household size,2.4,Tallangatta Valley
Median age of persons,46.0,Tabilk
Median total personal income ($/weekly),825.0,Tabilk
Median total family income ($/weekly),1687.0,Tabilk
Median total household income ($/weekly),1416.0,Tabilk
Median mortgage repayment ($/monthly),1300.0,Tabilk
Median rent ($/weekly)(a),207.0,Tabilk
Average number of persons per bedroom,0.7,Tabilk
Average household size,2.4,Tabilk
Median age of persons,56.0,Goldsborough (Vic.)
Median total personal income ($/weekly),414.0,Goldsborough (Vic.)
Median total family income ($/weekly),1375.0,Goldsborough (Vic.)
Median total household income ($/weekly),962.0,Goldsborough (Vic.)
Median mortgage repayment ($/monthly),705.0,Goldsborough (Vic.)
Median rent ($/weekly)(a),0.0,Goldsborough (Vic.)
Average number of persons per bedroom,0.8,Goldsborough (Vic.)
Average household size,2.3,Goldsborough (Vic.)
Median age of persons,55.0,Dartmoor (Vic.)
Median total personal income ($/weekly),578.0,Dartmoor (Vic.)
Median total family income ($/weekly),1442.0,Dartmoor (Vic.)
Median total household income ($/weekly),1163.0,Dartmoor (Vic.)
Median mortgage repayment ($/monthly),620.0,Dartmoor (Vic.)
Median rent ($/weekly)(a),153.0,Dartmoor (Vic.)
Average number of persons per bedroom,0.7,Dartmoor (Vic.)
Average household size,2.1,Dartmoor (Vic.)
Median age of persons,58.0,Caveat
Median total personal income ($/weekly),725.0,Caveat
Median total family income ($/weekly),1874.0,Caveat
Median total household income ($/weekly),1375.0,Caveat
Median mortgage repayment ($/monthly),1292.0,Caveat
Median rent ($/weekly)(a),50.0,Caveat
Average number of persons per bedroom,0.7,Caveat
Average household size,1.9,Caveat
Median age of persons,39.0,Naringal East
Median total personal income ($/weekly),900.0,Naringal East
Median total family income ($/weekly),2416.0,Naringal East
Median total household income ($/weekly),2083.0,Naringal East
Median mortgage repayment ($/monthly),1817.0,Naringal East
Median rent ($/weekly)(a),125.0,Naringal East
Average number of persons per bedroom,0.9,Naringal East
Average household size,2.9,Naringal East
Median age of persons,44.0,Dederang
Median total personal income ($/weekly),790.0,Dederang
Median total family income ($/weekly),2125.0,Dederang
Median total household income ($/weekly),2035.0,Dederang
Median mortgage repayment ($/monthly),1733.0,Dederang
Median rent ($/weekly)(a),162.0,Dederang
Average number of persons per bedroom,0.8,Dederang
Average household size,2.8,Dederang
Median age of persons,43.0,Balwyn
Median total personal income ($/weekly),850.0,Balwyn
Median total family income ($/weekly),2492.0,Balwyn
Median total household income ($/weekly),1975.0,Balwyn
Median mortgage repayment ($/monthly),3000.0,Balwyn
Median rent ($/weekly)(a),451.0,Balwyn
Average number of persons per bedroom,0.8,Balwyn
Average household size,2.6,Balwyn
Median age of persons,58.0,Braeside
Median total personal income ($/weekly),871.0,Braeside
Median total family income ($/weekly),1875.0,Braeside
Median total household income ($/weekly),982.0,Braeside
