school_name,education_sector,school_type,establishment_year,x,y,coordinates
Dunkeld Consolidated School,Government,Primary,2023,142.3,-37.6,POINT (142.3 -37.6)
Drouin South Primary School,Government,Primary,2023,145.8,-38.2,POINT (145.8 -38.2)
Drouin Secondary College,Government,Secondary,2023,145.9,-38.1,POINT (145.9 -38.1)
Dromana Secondary College,Government,Secondary,2023,145.0,-38.3,POINT (145 -38.3)
Dookie Primary School,Government,Primary,2023,145.7,-36.3,POINT (145.7 -36.3)
Carraragarmungee Primary School,Government,Primary,2023,146.5,-36.3,POINT (146.5 -36.3)
Glenrowan Primary School,Government,Primary,2023,146.2,-36.5,POINT (146.2 -36.5)
Carlisle River Primary School,Government,Primary,2023,143.4,-38.6,POINT (143.4 -38.6)
Cape Clear Primary School,Government,Primary,2023,143.6,-37.8,POINT (143.6 -37.8)
Bayside P-12 College,Government,Pri/Sec,2023,144.9,-37.9,POINT (144.9 -37.9)
Bayles Regional Primary School,Government,Primary,2023,145.6,-38.2,POINT (145.6 -38.2)
